[14Nov.2025 15:51:43.477] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeclientdev, --version, 21.1.215, --assetIndex, 17, --assetsDir, C:\\Users\\anwender\\.gradle\\caches\\neoformruntime\\assets, --gameDir, ., --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoForgeVersion, 21.1.215, --fml.neoFormVersion, 20240808.144430]
[14Nov.2025 15:51:43.479] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.8+9-LTS
[14Nov.2025 15:51:43.482] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.8 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[14Nov.2025 15:51:43.612] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[14Nov.2025 15:51:43.735] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[14Nov.2025 15:51:43.881] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[14Nov.2025 15:51:43.991] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/anwender/.gradle/caches/modules-2/files-2.1/net.fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/2af2f021d8e02a0220dc27a7a72b4666d66d44ca/sponge-mixin-0.15.2+mixin.0.8.7.jar%23138!/ Service=ModLauncher Env=CLIENT
[14Nov.2025 15:51:44.205] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 2070/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.80, NVIDIA Corporation
[14Nov.2025 15:51:44.434] [main/INFO] [net.neoforged.fml.loading.moddiscovery.locators.JarInJarDependencyLocator/]: Found 3 dependencies adding them to mods collection
[14Nov.2025 15:51:44.437] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/]: 
     Mod List:
		Name Version (Mod Id)

		Architectury 13.0.8 (architectury)
		Ex Deorum 3.9 (exdeorum)
		FTB Library 2101.1.26 (ftblibrary)
		FTB Team Bases 21.1.10 (ftbteambases)
		FTB Teams 2101.1.7 (ftbteams)
		Jade 15.10.3+neoforge (jade)
		Just Enough Items 19.21.2.313 (jei)
		Minecraft 1.21.1 (minecraft)
		NeoForge 21.1.215 (neoforge)
		NSB Utils 1.1-Alpha (nsb_utils)
[14Nov.2025 15:51:45.400] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[14Nov.2025 15:51:45.414] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeclientdev' with arguments [--version, 21.1.215, --gameDir, ., --assetsDir, C:\Users\anwender\.gradle\caches\neoformruntime\assets, --assetIndex, 17]
[14Nov.2025 15:51:45.782] [main/INFO] [MixinExtras|Service/]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.5.0).
[14Nov.2025 15:51:47.074] [Datafixer Bootstrap/INFO] [com.mojang.datafixers.DataFixerBuilder/]: 229 Datafixer optimizations took 343 milliseconds
[14Nov.2025 15:51:51.645] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14Nov.2025 15:51:51.646] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14Nov.2025 15:51:51.649] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14Nov.2025 15:51:51.650] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14Nov.2025 15:51:51.651] [main/WARN] [net.minecraft.commands.Commands/]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14Nov.2025 15:51:51.761] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/anwender/IdeaProjects/NSB-Utils/build/moddev/artifacts/neoforge-21.1.215.jar%23196!/assets/.mcassetsroot' uses unexpected schema
[14Nov.2025 15:51:51.761] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/anwender/IdeaProjects/NSB-Utils/build/moddev/artifacts/neoforge-21.1.215.jar%23196!/data/.mcassetsroot' uses unexpected schema
[14Nov.2025 15:51:51.784] [Render thread/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[14Nov.2025 15:51:51.799] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Setting user: Dev
[14Nov.2025 15:51:51.894] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Backend library: LWJGL version 3.3.3+5
[14Nov.2025 15:51:52.284] [modloading-worker-0/INFO] [net.neoforged.neoforge.common.NeoForgeMod/NEOFORGE-MOD]: NeoForge mod loading, version 21.1.215, for MC 1.21.1
[14Nov.2025 15:51:52.334] [modloading-worker-0/INFO] [exdeorum/]: Registered "oak_barrel" for barrel material oak.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "spruce_barrel" for barrel material spruce.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "birch_barrel" for barrel material birch.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "jungle_barrel" for barrel material jungle.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "acacia_barrel" for barrel material acacia.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "dark_oak_barrel" for barrel material dark_oak.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "mangrove_barrel" for barrel material mangrove.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "cherry_barrel" for barrel material cherry.json
[14Nov.2025 15:51:52.335] [modloading-worker-0/INFO] [exdeorum/]: Registered "bamboo_barrel" for barrel material bamboo.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "crimson_barrel" for barrel material crimson.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "warped_barrel" for barrel material warped.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "stone_barrel" for barrel material stone.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "fir_barrel" for barrel material fir.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "redwood_barrel" for barrel material redwood.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "mahogany_barrel" for barrel material mahogany.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "jacaranda_barrel" for barrel material jacaranda.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "palm_barrel" for barrel material palm.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "willow_barrel" for barrel material willow.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "dead_barrel" for barrel material dead.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "magic_barrel" for barrel material magic.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "umbran_barrel" for barrel material umbran.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "hellbark_barrel" for barrel material hellbark.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "archwood_barrel" for barrel material archwood.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "skyroot_barrel" for barrel material skyroot.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "bluebright_barrel" for barrel material bluebright.json
[14Nov.2025 15:51:52.336] [modloading-worker-0/INFO] [exdeorum/]: Registered "starlit_barrel" for barrel material starlit.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "frostbright_barrel" for barrel material frostbright.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "comet_barrel" for barrel material comet.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "lunar_barrel" for barrel material lunar.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "dusk_barrel" for barrel material dusk.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "maple_barrel" for barrel material maple.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "crystallized_barrel" for barrel material crystallized.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "oak_sieve" for sieve material oak.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "spruce_sieve" for sieve material spruce.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "birch_sieve" for sieve material birch.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "jungle_sieve" for sieve material jungle.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "acacia_sieve" for sieve material acacia.json
[14Nov.2025 15:51:52.337] [modloading-worker-0/INFO] [exdeorum/]: Registered "dark_oak_sieve" for sieve material dark_oak.json
[14Nov.2025 15:51:52.338] [modloading-worker-0/INFO] [exdeorum/]: Registered "mangrove_sieve" for sieve material mangrove.json
[14Nov.2025 15:51:52.338] [modloading-worker-0/INFO] [exdeorum/]: Registered "cherry_sieve" for sieve material cherry.json
[14Nov.2025 15:51:52.338] [modloading-worker-0/INFO] [exdeorum/]: Registered "bamboo_sieve" for sieve material bamboo.json
